Social Media Name,Reviews,Label
Twitter,Useless aap the people who are addicted in it pls Uninstalle and dont waste ur time in it,not good
Twitter,WASTE OF TIME,good
WhatsApp,"Made a new business account and on my first day of using it, they took away my follow feature. It's been never a week, hassling them daily, and still blocked. My account has also been suspended 3 times this week too. Haven't posted anything offensive or violated any rules. Paying for ads that are getting nowhere too. Other accounts have been fine. This outfit is getting to be nothing but an automated series of computer nonsense and is massively disappointing.",not good
Instagram,This is so amazing,good
LINE,I don't have the latest features Even after I updated the app.,not good
Twitter,I am haapy a good application,good
Twitter,"I wanna save things ive posted with the audio, bring back posts you've seen feature",good
Snapchat,Why the heck are their ads coming between my feed,not good
Twitter,Nice help me please ,good
Instagram,Very very bad including glitches,not good
WhatsApp,Very fun get to do story's vids or lives,good
Facebook,Its good social side,neutral
Twitter,bring back the old version,not good
TikTok,Instagram team please we are request to fix the bug so we can enjoy the Instagram please it is the huge request.but literally instgram is very fantastic app but this bugs are low the image of Instagram so we are requested to fix this bug in ah short time period,not good
LINE,Good one,good
Instagram,Why not working music in my insta app,good
LINE,100k followers,good
Facebook,Good luck ,good
TikTok,Very bad app It's takes much of data but the speed of any uploading is very slow,not good
Snapchat,Hate how this app has just turned into a place for ads for shopping and then videos everywhere because Meta wants people to buy stuff constantly and then be like tiktok ( and will never be tiktok)... I miss the old instagram where the UX/UI design actually made sense for users/artists. Hoping to find a new app to post my artwork elsewhere.,not good
TikTok,Cool,good
Snapchat,good experience,good
Facebook,Nice one this app i like insta,good
LINE,Very nice application but ye problem solf kro meri Plz inebal my reels optional,good
LINE,Both hard.. ,good
LINE,All good. Picture quality remains,neutral
TikTok,This app is so amazing,good
Instagram,Please show my account reply option,good
TikTok,This is a very nice aap and intresting also. I love this aap,good
Snapchat,This is amazing I love it,good
Facebook,Trying to create a business post pr video is a nightmare.,not good
TikTok,Awesome  Amazing  Fabulous  Mast  Ek No  Super  Outstanding ,good
WhatsApp,Dear insta sir mera followers km kyu hota ja raha hai plss help me sir aur History km se km 30 second ho to acha hoga,good
Snapchat,11years,good
Facebook,My experience is organic don't Panic,good
Snapchat,Not downloading,not good
LINE,Love the CCP feel,not good
Instagram,Very good app,good
TikTok,Im having problem with reactivating my account i have tried everything but the customer cares aren't responding kindly someone assist me,not good
Instagram,Really good,good
WhatsApp,Nic app,good
Facebook,"I really don't want to give any stars to this inherently racist platform. Fux them all day, every day",not good
LINE,Nice and lovely,good
LINE,The last time I updated Instagram it changed the font of my emojis I demand instagramto unable this update and make it optional to have the new Instagram emoji found and I don't have reels any more,not good
WhatsApp,This is very good and safe and more infomativ and sphere time is easily spend with insta,neutral
LINE,It's the best ,good
Snapchat,Why can we post a story combining as many as photos we want yet they can't be videos ?,neutral
Twitter,That is good,good
Facebook,Great but sometime have problem,neutral
Instagram,Why is not download in my device?,good
LINE,Terrible algorithm,not good
Facebook,WOW! THIS IS MY FAVOURITE APPLICATION,good
TikTok,It's fantastic ,good
LINE,Wast,good
Twitter,Very good app,good
WhatsApp,Discrimination a verified badge.,not good
Instagram,"Please use a dislike button too as cringeness is increasing day by day or we real singers , dancers and artists will leave instagram .",not good
LINE,Interesting,good
Facebook,Really best app,good
LINE,LOVE IT,good
WhatsApp,App is poor quality,not good
Instagram,It's great app but useless and we can use insta whatever our age is why they doing disabled to the acc and deleting them y'all dont find other kids with age 6 7 8 make their acc disabled and we work hard so much for the followers that all will be gone pls dont do this idc if am wrong or right but I dont like this app bc of this thing my acc was also got disabled due to my age.,not good
WhatsApp,ONE OF THE BEST APPS EVER ,good
Snapchat,It's cool and great... but the rate of hacking is too much please... I love  instagram,good
Snapchat,Superb for business purposes,good
Snapchat,Flowers 100 plzzz id just_call_me_umar_,good
TikTok,What happen not working my Insta please ,not good
Facebook,Love it,good
Facebook,nice app dis app my life ye app se meri gf banihai,good
Twitter,Algorithm is so funny,not good
Twitter,My Instagram account story music neme in hindi please,not good
Twitter,Very gud app very use and gud editor app,neutral
Instagram,"Hi instagram, Please unfreeze my account I follow or your terms and conditions but my account is freeze but my account is freeze . Please unfreeze it . My account sonali_sonu_8699",not good
TikTok,Please hlp my Instagram Accaunt black screen issue plz hlp Team Chek your,not good
Twitter,"disappointed with the instagram application, my account was hacked by someone by changing the email address but couldn't come back again, different from facebook, at the same time it was also hacked but could come back to me. Very2 disappointed",not good
Facebook,It's good but when I post my videos daily but i can't get views,good
Facebook,Getting worse day by day.,not good
Instagram,"everytime i try to open instagram to the login screen it only shows a blank white screen and i've tried uninstalling and reinstalling, restarted both the app and my phone, and nothing is working.",not good
Instagram,Worst app bad ,not good
Snapchat,Its need so many data and ndtowrk,not good
Instagram,They cencor conservatives,not good
Twitter,I like this app,good
Facebook,"It is easy to make posts, and view photos, overall the experience is brilliant",good
TikTok,Good app,good
Instagram,Cool,good
LINE,This the most important tool for earning money online,not good
TikTok,I love Insta coz here u can follow all my fav celebs and other ppl tht do cool and interesting stuff,good
Facebook,"App is hanging! For the past 3 days when I've tried to look through my friends updates, I get about 3 posts in and it just hangs. Tried uninstall/reinstall and nothing. Using Samsung S10, please sort this out devs",not good
LINE,"12/20/17It got buggy. Stopped working a few times. Gets laggy. Stopped working, screen froze. Uninstalled it. Going too install again to see if it will work better. 7/3/19. Continues to be buggy. Heard facebook/instagram/et al are having server problems. Tried uninstall again. Still buggy. Now I can't upload multiple posts. Cleared cache. Wiped out the memory. Uninstalled and installed. Still can't multiple post. Sucks. Still addictive. Wish I could quit.",not good
Twitter,It's very good application,good
Twitter,Insta ik vdy application nhi ha ih boht vdy aa application hai,good
Snapchat,The shi baat kro ki to kar diya  and the shi baat hai ki chashma and hot and hot water tank top 6tv me nahi aa gya tha bhai he bhai ki  b the grand canyon Mall road the same day as he is currently unavailable so,good
Instagram,My insta doesn't update yet  What I do plzz tell me,not good
Instagram,Want open just a black screen,not good
LINE,My insta has not been opening from last 6 to 7 hrs I have tried for a long time and it says unfortunately insta has stopped . Plss fix it and there are also a lot of glitches in the app plss fix them too . Its very annoying .,not good
Snapchat,It is an amazing app for social media but have one of the disadvantage that after going offline active status remain on for some time. Active status is not closed instantly after getting offline,good
Instagram,Hat bccc,not good
LINE,Facing problem in real its take only 14 Second of video and next part can not be seen in status,not good
TikTok,I love this app,good
TikTok,Good app  I like not this app,not good
Facebook,Video chat quality is too poor,neutral
Instagram,The app is gud... for me many time's but sometimes it happens not gud and got hang ,neutral
WhatsApp,I love this app,good
Facebook,Reels often include inappropriate videos of very young kids. Reporting the posts only generates more of those types of videos. Disgusting to say the least. Now it will only feeds 8 of the posts that I follow then freezes up at suggest posts. The other account is still fed underage stuff.,not good
WhatsApp,I love insta more than my gf,good
LINE,Good app,good
Facebook,Who isn't the collaborator not coming in taging the reels  i just hate it soo much now,not good
Twitter,Please add the option to bring back the deleted reel after restoring to the profile grid.,neutral
TikTok,I like this app it is very usefull to us it can conect each other,good
Twitter,Mere Sare fek followers Hata Do please,good
Facebook,Worse,good
TikTok,Dont lick this app,not good
Snapchat,This app is wonderful....I love this app.,good
TikTok,"It's such a cool app I can watch reels, memes and also I can text my friends thank you so much",good
Twitter,An amazing App i have to say and i feel so good connecting people with Instagram,good
Snapchat,"Instagram offers basically no support at all. They simply direct you to a useless troubleshooting guide. I've been locked out of my account for months, for seemingly no reason, and I am entirely unable to get any kind of assistance with my issue. Now I have data out there that I'm no longer in control of, I have missed contact attempts, and I can't even delete my account. it is absolutely absurd that there is no support or recourse at all for issues like mine. I've seen so many posts about this issue around the web, same speicifics as mine, and no solutions at all.",not good
Twitter,Can't open the app anymore. Keeps stopping,not good
TikTok,Aasome app,good
TikTok,"Worst support , can't even get my queries reported, I disabled my account but not it says that there is no such account and it even hasn't been 30 days",not good
LINE,What happened to additing music on a post.. for the last few weeks the option is not available.. advice asap,not good
Twitter,It keep crashing and the messages overlap in personal chats and sometimes the messages do not appear in the chats while engaging in a conversation we have to refresh ans reopen th app to see. Please fix this. The app is shutting down and I have to reinstall it over and over again not satisfying also it kinda updates after I restart the app after install.,neutral
TikTok,Great app!,good
Twitter,Very Good app But No views in My reels so meta Solve this problems as soon as possible ,good
Instagram,Followers 1000,good
Instagram,No hate no hate hate hate,neutral
Facebook,Please install da instgram,good
Instagram,I am not able to choose music on Story Instagram is now getting worse  please look nsjsk ,not good
Instagram,I am not able to translate other languages after updating,not good
Snapchat,"It is very good social media platform.. But iam disappointed with one of the glitch. I am not able to like anybody's post, video,reel. So plzz fix this problem. Otherwise i have to delete my account",not good
Twitter,Love you all for you to lnstagram to follows my 2000,not good
Instagram,You get to learn fashion,good
WhatsApp,I can't reply to messages and put themes. Please fix that,good
LINE,Am speechless Instagram is the most beautiful and awesome social media I even seen before,good
Snapchat,Hinduism and science page is suspended by Instagram without any reason .... Instagram is totally biased for people.. shameful,not good
Instagram,Good for entertainment,good
Facebook,Deactivated my account with username - iamgobind for few months. I am able to reset my password through gmail and my mobile number. Getting the email from instagram that password has been reset but cannot login to my account still deactivated !!,not good
LINE,Best apk and chat is superb I like this app,good
Twitter,Thats amazing application,good
Instagram,From tomorrow night my Instagram is not even working properly i can't able to see my post and others... What is going with the Instagram ... Is there any solution about my problem...,not good
TikTok,The very best app ,good
WhatsApp,Instagram open na ho ra bhai,good
Snapchat,"Since i created my account ,i never have access to reels, neither uploading or Watching. It's the same problem with all my friends ,maybe because we are in Benin Republic, that's a discrimination i think.",good
Facebook,I love it Everything so functioning and perfect,good
Facebook,Good but please add the feature of translation of voice massages.,good
Snapchat,My acount got hacked. Please help get it back. acount:@itz.ya.girl_twane,not good
Instagram,I can't click my photos i don't why but whatever i click like photos and video thi app is not showing that .,not good
Facebook,Wish I could afford Instagram premium to get all the features,good
TikTok,My Instagram is glitching it won't refresh it stays on one post and won't load,not good
WhatsApp,Instagram is an excellent A1 app,good
Instagram,My instgram is lacking too much,neutral
TikTok,There is no reel option please do something ,not good
WhatsApp,too mich glitches.... browsing through video is such a pain... most of reels or video posts freeze while audio continues....,not good
Twitter,Very nice app But no giral talk with me why Please solve this problem Request Instagram team I am single No gf in this modern world Please one giral found with me please,good
Instagram,lots of bug and glitch,not good
Snapchat,Great,good
TikTok,It is cool,good
Twitter,"Otherwise 5 stars, but I have to reinstall the app every time I click on a notification from it.",not good
Twitter,I want to grow my account,not good
WhatsApp,Problem in login page login page not showing just black screen,not good
Facebook,Good for education purpose because any news updated Thank for you,good
Facebook,Mind-blowing too good ,good
LINE,What happend,not good
TikTok,We didn't get reply on instgarm from girls even texting them,not good
TikTok,Good application but lot of ads and bugs,good
WhatsApp,"Can't turn off video auto play, the app was uninstalled and the web based version used through my browser with the option of not auto play video.",not good
Twitter,It's IG baby. Still my fave SMN app,good
Instagram,Why my Instagram is not working ,not good
WhatsApp,"This application proves to be very useful for me and my family. I loke this app most beacus from this app we can obtain many informations about knowledge, many famous celebrate etc.",good
LINE,Instgram reel icon not coming my phone,good
WhatsApp,It hasn't been. Working for days . I can t figure out how to send a bug report . I think I'm going to delete my app...,not good
Snapchat,The greatest app,good
Snapchat,Very good and domestic app,good
Snapchat,Good one,good
Instagram,It's working well ever I deleted 5 times. This makes me more happy no any chats gets collided and no any other problems created,good
WhatsApp,This app is the most interesting app in this play store i have no word for this app,good
Facebook,"it's update is awful. Also, why it tells me that I have 3 message requests but when I'm checking, I've receivedno new messages?!",not good
Instagram,Very problem creating app White screen after login Or log out,good
Instagram,Instagram is not opne this my phone,not good
Snapchat,This is not good right know because it very glitching pls take care of this issue,good
Twitter,Nce,good
Instagram,It's a great and an awesome app I spend most of my time on this app,good
Facebook,Good experience and app have improved. Enjoying it so far . Do visit br8dzilla for bikelife entertainment,good
Facebook,The best apps,good
Instagram,I am interested useing Instagram is my choice.acc.67,not good
TikTok,It's been two days i can't login to my account and unknown error is showing and so many features are missing new followers notification disappeared. Yes or No in story setting missing. Very very disappointment on you Instagram. Please fix all this issues Instagram. I am very disappointed Instagram.,not good
WhatsApp,Picture quality is low after uploading to stories or posting,not good
LINE,It's nice,good
LINE,Everything was working good but now I'm not able to post any video tried to delte cache reinstalled app but not working...fix this problem asap,not good
Facebook,Very nice app,good
WhatsApp,Really good,good
LINE,This app make my future ,good
Snapchat,Saw the firstSWaw1wzawseessee1seeeesaswss,not good
Facebook,Vry bad experience ,not good
Facebook,220f-lover-boy---,not good
TikTok,Cool,good
Snapchat,"Sometimes difficult, but awsm way to be social and personal...all d best",good
Instagram,Good famous,good
TikTok,Instagram is lacking so much I don't why it's having so much of glinch,not good
WhatsApp,This ap is very great,good
Facebook,I am using Instagram I am feeling better because I am boring thanks for coming Instagram thanks ,good
LINE,"I'm using Instagram since many years but lately I'm facing so much glitches here, I can't even post video here. Whenever I try to click on share button to post video it doesn't response also there many glitches when I use dark mode Instagram like whenever I use reels it gets trash... fix it",not good
TikTok,Mic nhi chal rha h update it,not good
WhatsApp,it's my favorite app,good
WhatsApp,Super app to help to same members i like this app mentioned story and post and reels heavy likes,good
Facebook,"Change it back, this isn't working the way you thought, move on. Everyone clearly hates the update. Only a matter of time before another app comes along. #myspace",not good
Snapchat,I'm enjoy used this app,neutral
Instagram,"More and more frequently when I launch the app, it asks me to enter my DOB before I can get into the app. Super frustrating.",neutral
Instagram,"HOW IN THE WORLD! Do I upload a reel onto my story for longer then 15 seconds man?! It's so annoying not being able to share a good reel. Like sometimes the reel only needs 2-3 more seconds for the punch like or the twist. It's SOOOO annoying. And all those tutorials are so fake on the internet who pretend that they have a solution for this while just telling us to download the reel and then upload it. I mean, I had seen people share reels in parts but idk how did they did that.",not good
Snapchat,Have everything that person need,good
Snapchat,Good app,good
Instagram,"With the latest update, instagran crashes alot. I am unable to add to my stories, filters aren't loading and when I select a photo to add it to my story it always gets blurred, even I have a 5G Wi-fi connection still it always shows try again.... Not satisfied with the latest update. Try to fix this as soon as possible",not good
TikTok,Fully enjoyed  app,good
TikTok,It's amazing ,good
Snapchat,Nice Platfrom For filter Videos Nice,good
TikTok,Good app,good
Twitter,Nice app..,not good
Facebook,Thise app is so cool but one big proble 1 any ads,good
Facebook,Perfect,good
Facebook,This app is very slow ,not good
WhatsApp,"It is working fine in my apple device. On the other hand, when I installed this in my android device, after a few hours or a day I can't see anything in my feed. Hoping that you could make it smoother for android device as well.",not good
LINE,It's become a haven for fascist trash that protects nazi's and other racist trash. Nothing's changed. Zuckerberg need tried for treason and sentenced to the max.,not good
Snapchat,Its a great app,good
TikTok,Very good application,good
WhatsApp,"It's getting worse day by day, and there is no repair to it.",not good
Instagram,Yall ruined this app... its unusable,not good
WhatsApp,I don't login my account. Fix the login bugs,not good
WhatsApp,Please hlp my Instagram Accaunt black screen issue plz hlp Team Chek your,not good
WhatsApp,I love this app!,good
Instagram,Bad performance,not good
WhatsApp,Full Comedy,not good
Facebook,Update please give,good
Twitter,Acha he behut acha ,good
Instagram,Please instagram download nahi horaha hai please solve or id please block mat karo please solve me.,good
Snapchat,Wonderful app,good
Facebook,I tray many hastag but my video is not viral @x4.hars_hit and @itzz_harshuu_1 This is my account,good
Instagram,"This app is the best but it takes up space ,when you download it here it says it only takes up 48md but when it in your phone's it 340mb why",neutral
Twitter,When I don't why but if I don't update immediately it looks me out of all my accounts it's really nad because sometime I can't remember my password for my business account and have to make a new one and get new followers do you know how hard it is,not good
WhatsApp,Your new update now won't let us sign in,good
Instagram,instagram is an lovely app for me ! thank you so much for designing this app.,good
Twitter,Very intresting app,good
LINE,Mere instapay Sare pictures Nahin a Rahi,good
Instagram,Nice and beautiful app this is no download,good
Snapchat,Very good for,good
WhatsApp,I'm so amused how so many people are so good in this app... I'm still learning and growing in this community ,good
TikTok,Worker in fast gud proformance,not good
Instagram,"""Add your own birthday"".... how many times is this app going to ask me to add my birthday? I've done this more than enough times. I'm basing my 1 star review solely on that. Until it's fixed, this 1 star stays.",not good
TikTok,"I have been running instagram for a long time. I deleted my instagram account on 23 september but now i am unable to login back. Then what should I do right now, I don't understand ",not good
Twitter,It's acting up I can't like posts anymore or unfollow,good
Facebook,Lovely app,good
Facebook,Instagram is nice I like this app,good
Instagram,"Reels option not showing,worst feed design bozo y'all better work to keep it like last update this new update sucks where reels option isn't there.",not good
TikTok,ig ruined the quality of my uploaded videos!,neutral
TikTok,Instagram is very best social media platform join in Instagram,good
LINE,its Amazing i really enjoy this,good
LINE,"Kachra hogya hai , voice glitch",not good
TikTok,Nice application in the world,good
TikTok,That is a good feature,good
Snapchat,"Horrible experience, I've been hacked twice and I take ownership for it being hacked. But why can't Instagram help in no way at all. My personal information with my beautiful children and they are threatening me. Oh you guys say you have ways to help but your a LIAR forsure, your not trying to help people just lazy and don't care. I have so many way to prove/ verify my identity and that just doesn't matter. So basically there is no way to receive my page back or even shut it down.",not good
Facebook,i have to redownload this app every 2 hrs now tf did i do????,not good
Instagram,Very true,good
TikTok,Allot of bugs on Instagram chat And facebook judging if a comment is real threat in spanish lmao,not good
Snapchat,Nice dp yrr net bhot leta h ye,not good
TikTok,Not effect show for insta,good
Facebook,The new layout that made it like tiktok is terrible and has made the app unusable,good
LINE,"""Unable to refresh feed"" for like a month now....ya'll screwed it all up.",not good
Facebook,"Hi, I deactivated/ temporarily disabled my account and now I can't get back to it. I'm unable to open it so please help me with this issue.",good
TikTok,fake accounts ,neutral
Facebook,I deactivated my account and now I'm unable to reactivate it.,not good
Twitter,Fix some bugs pls,neutral
Instagram,It good,good
Snapchat,Good app ,good
LINE,Like this app ,good
WhatsApp,"I deactivated my account 3 days ago and from yesterday i cant reactivate my account man . i tried almost everything changing password ,clearing all data and cache ,uninstalling ,logging in from chrome, but still cant log into my ig . please resolve this as soon as possible ",not good
WhatsApp,I can't log in into instagram it shows that you dont try this whyyyyyyy???????????,not good
Facebook,Worst app sometimes works good but full of bugs ....,not good
Facebook,I am sure you have 5 to 5 to get to see if,good
Instagram,Reach increase pls ,not good
LINE,Instagram lacks an option to edit our comments,neutral
TikTok,Very much good,good
Instagram,My Instagram isn't working since yesterday. I can't see new post and my Instagram back to old version. Please fix my Instagram back,not good
LINE,Some bugs are there plz correct them ex reels and some sounds prblms,good
Instagram,Overall it's good but I am not able to react in the Instagram messages and sometimes the posts comments are hidden which I post.!,neutral
Snapchat,"The app is getting more and more boring and cluttered with each update. The feed has basically been destroyed to the point where you cannot see the posts from the people you follow, but you just get bombarded with cringe tiktok reposts. Way too many ads as well, it's the beginning of the end for this app",not good
Facebook,My account is not working please it's my humble request to you please check your system,good
Snapchat,Professional,good
Facebook,Very usefull application,good
Snapchat,view profile photo ka option hona chahiye,good
WhatsApp,This apps is best for time pass,not good
Instagram,"I've been trying to do a story but it keeps glitching and freeze-framing, everything is super glitchy and buggy, messages keep screwing up so that the send button is gone and I have to exit out of the message to get it to work idk what's going on but it's almost unusable as of right now and it seems like I'm not the only person experiencing this, why tf isn't Instagram doing anything about this??",not good
WhatsApp,No proper way to solve the issue regarding account that is deactivated worst,not good
Instagram,Everyday new update,not good
Twitter,"Pls instagram unfreeze my account It has been freezed for 3 months and I'm unable to get views, likes & followers like the way I did before Pls pls unfreeze my account as soon as possible ",neutral
LINE,Horrible! Way too many bugs!,not good
TikTok,Can i please get help to log in in my Account i need it my Account name is johannax15 i love instagram,not good
Snapchat,It's a Nice aap...,good
TikTok,It's so so nerve wrecking....nothing's there in my home feed it just shows story and stays like loading the posts... I need to search my celebs up for their posts...do something,not good
Instagram,Doesn't work on mobile data for no reason,not good
TikTok,It makes me happy,good
WhatsApp,This social media is so perfect,good
Instagram,Very nice and good luck with everything going on in the world time,good
Instagram,Instagram is the best app I have ever used .,good
Snapchat,"Sanctions on some regions are really disaster on this app, limiting contents against US policies are annoying! A completely monopolism...",neutral
Twitter,Hello I love you and your family and friends is sorry sorry sorry sorry sorry sorry sorry sorry sorry bol Na koi sir I am late to my favourite word  hii tikki you are not the same day flowers delivery by Feb and March to may you please let us help I can do to Tera Naam hi dete hai fitoor you are welcome to my email is confidential or privileged and is not available on request you  I really appreciate you taking time off to a friend who has been sent from Samsung camera app for,good
WhatsApp,One of my favorites app and I love it it's so good for using ,good
Instagram,Very good app,good
Twitter,Simply waste all people or addicted to this app so all students not study only using the app so please put condition to use app above 18 age above so it's it's a request,not good
LINE,This app is a very good,good
LINE,Such a bad app,not good
Twitter,"the new update, aowa",not good
Twitter,Hello this is very useful application .I am vert happy to use this,good
TikTok,It's an amazing app  I like it so much live with Instagram  follow up the more reviews,good
LINE,Full to top Instagram,good
Snapchat,It's the best I have ever seen so far,good
TikTok,Temporary disabled my acc some time back and now its not able to reactivate please help!!!,neutral
Facebook,The best,good
Snapchat,Perfect & secure social media network,good
LINE,"took down multipule accouts without warnings when i didn't violate any guidelines its giving homophobic,anti black, and racist for me",not good
LINE,Lot of glitches ,not good
WhatsApp,Too many issues..... sometimes i am not able to see the post of other users. And i am not having new features. This always happens.,not good
LINE,App crashes alot I am unable to use it don't know why,not good
WhatsApp,Having login issue please solve this problem tha challanging issue are come,not good
Facebook,In my id *Shayari_ka_khawab* The problem coming again and again that is *Not post yet* and i upload 75+reels but insta is not give me views please fix it as soon as possible,neutral
LINE,Cool,good
WhatsApp,xxxtentacion my favourite singer !!!,good
Twitter,Superb this app,good
Facebook,Wow so beautiful ,good
Snapchat,This is the best aap,good
Facebook,I have saved songs in audio but it is not showing now,not good
Twitter,"This app is very good it can locate u wherever and u can message people from all over ,if u don't watch news download Instagram u will get to know so much about your country ",good
Facebook,Now a days in my Instagram account very bugs . My Instagram message swipe reply options is not working. What ti do now . Please solve my issue .,not good
WhatsApp,It a good app and I love it,good
Instagram,"My whole feed is black. Won't load, I can only watch reels & stories",not good
Facebook,Thanks you so much ,good
LINE,Nice app and soo usefull,neutral
WhatsApp,It's been two days i can't login to my account and unknown error is showing and so many features are missing new followers notification disappeared. Yes or No in story setting missing. Very very disappointment on you Instagram. Please fix all this issues Instagram. I am very disappointed Instagram.,not good
LINE,I love the app it make me more people,not good
Twitter,I really love this app,good
LINE,I cannot post my my video for my feed ,not good
LINE,Newer updates suck,neutral
TikTok,cool,good
WhatsApp,Can't give videos on stories . Why it's happening please fix it . I can't do it.,neutral
Twitter,such a good social media application but my posts are not growing up  that's why I don't like to share more posts on Instagram ,good
WhatsApp,Nice enjoying here.,good
Twitter,Loss of internet,good
Twitter,Its alright,good
Facebook,Instagram chalane mein problem a rahi hai,good
LINE,Cool ficture,not good
TikTok,I had deleted this app now it won't lete.download it again trash with I could give 0 stars,not good
Facebook,It's good but why avtar option is no enable in my account.....pls check your glitch....,good
WhatsApp,"I hate this app when I put my username in my account it says ""please wait a few minutes & try again later"" Then I came back after a few minutes it still says the same thing please fix this",not good
Instagram,Instagram are not open please solve this problem,not good
TikTok,Thank you for make this app,good
Snapchat,“First they ignore you. Then they ridicule you. And then they attack you and want to burn you. And then they build monuments to you.” - Nicholas Klein via bkb.ai/quotes,good
TikTok,Algorithm is crazy,not good
Facebook,I am in love with this app,good
TikTok,Seeing all bakwas posts on the top which I'm not following...This update is too worse..,not good
TikTok,So all right,good
Twitter,"fun app, but there definitely are some things wrong with it. there are lots of bugs, including the fact that im literally incapable of saving any pictures i take/edit. would be much better if the app actually worked how it should.",not good
LINE,Perfect,good
Facebook,Love this app,good
Instagram,Facing problem to open after download,not good
LINE,İ haven't been acessing Instagram because it always says i have given my password... and i didn't at all.,not good
Instagram,"the new update is so bad, i hate it so so much THE APP ISN'T BROKEN LEAVE IT THE WAY IT WAS",not good
Instagram,Perfect,good
Snapchat,messenger updated but your account not updated options please review my account and please review my account messenger updated options please,good
Facebook,Please viral my reel and increase my account followers,good
WhatsApp,It aii,good
TikTok,Worst ap.. Girls never replies ,not good
Twitter,My off bugs,neutral
